id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,7,170,50,6,2,1,913.59999999986,1,160,2
subj_1,7,171,51,1,2,1,727.59999999986,11,180,2
subj_1,7,172,52,4,2,1,1052.89999999991,1,180,2
subj_1,7,173,53,3,1,1,1489.5,-1,180,2
subj_1,7,174,54,5,2,0,1086.79999999981,11,200,2
subj_1,7,175,55,6,2,1,806,-11,180,2
subj_1,7,176,56,6,1,0,854.699999999953,-11,160,2
subj_1,7,177,57,5,2,0,803.299999999814,11,180,2
subj_1,7,178,58,4,2,1,867.899999999907,1,180,2
subj_1,7,179,59,3,1,1,875.899999999907,11,200,2
subj_1,7,180,60,6,2,1,817.199999999953,-11,180,2
subj_1,8,181,1,4,2,1,1659.5,1,0,2
subj_1,8,182,2,6,1,0,1111.39999999991,-11,-20,2
subj_1,8,183,3,3,2,0,883.399999999907,-1,-20,2
subj_1,8,184,4,5,2,0,1610.69999999995,11,0,2
subj_1,8,185,5,3,1,1,1090.59999999986,-1,0,2
subj_1,8,186,6,2,2,0,703.899999999907,-11,-20,2
subj_1,8,187,7,1,2,1,836.59999999986,11,0,2
subj_1,8,188,8,5,2,0,933.799999999814,-1,0,2
subj_1,8,189,9,5,2,0,979.09999999986,11,20,2
subj_1,8,190,10,3,2,0,1358.39999999991,11,40,2
subj_1,8,191,11,1,2,1,857,11,60,2
subj_1,8,192,12,5,2,0,1023.80000000005,-1,60,2
subj_1,8,193,13,2,2,0,1367.69999999995,1,60,2
subj_1,8,194,14,4,1,0,1239.69999999995,-11,40,2
subj_1,8,195,15,4,2,1,1502.79999999981,1,40,2
subj_1,8,196,16,6,1,0,2131.60000000009,-11,20,2
subj_1,8,197,17,1,2,1,1108.80000000005,11,40,2
subj_1,8,198,18,6,2,1,1939.29999999981,-11,20,2
subj_1,8,199,19,4,2,1,1420.69999999995,1,20,2
subj_1,8,200,20,4,2,1,836.59999999986,-11,0,2
subj_1,8,201,21,1,2,1,721.899999999907,11,20,2
subj_1,8,202,22,6,2,1,1389.79999999981,-11,0,2
subj_1,8,203,23,3,2,0,1617.19999999995,11,20,2
subj_1,8,204,24,3,2,0,1031.10000000009,-1,20,2
subj_1,8,205,25,5,2,0,1608.39999999991,11,40,2
subj_1,8,206,26,3,2,0,843,-1,40,2
subj_1,8,207,27,3,2,0,863.699999999953,-1,40,2
subj_1,8,208,28,5,2,0,619.600000000093,-1,40,2
subj_1,8,209,29,2,2,0,973.600000000093,-11,20,2
subj_1,8,210,30,5,2,0,885.5,-1,20,2
subj_1,8,211,31,2,2,0,1060.80000000005,-11,0,2
subj_1,8,212,32,3,2,0,2272.80000000005,-1,0,2
